Leader,From Lap,To Lap,# Of Laps
Kurt Busch,1,2,2
Denny Hamlin,3,9,7
Kyle Busch,10,39,30
Bubba Wallace,40,40,1
Kyle Busch,41,45,5
Daniel Suarez,46,62,17
Chase Elliott,63,66,4
William Byron,67,67,1
Chase Elliott,68,110,43
Ross Chastain,111,128,18
Chase Elliott,129,148,20
Ryan Blaney,149,150,2
Kyle Larson,151,151,1
Chase Elliott,152,170,19
Ross Chastain,171,196,26
Daniel Suarez,197,204,8
Joey Logano,205,213,9
Daniel Suarez,214,220,7
Ross Chastain,221,251,31
Daniel Suarez,252,255,4
Ross Chastain,256,259,4
Chase Briscoe,260,260,1
Ross Chastain,261,303,43
Tyler Reddick,304,322,19
Ross Chastain,323,353,31
Kyle Larson,354,395,42
Chase Briscoe,396,396,1
Kyle Larson,397,404,8
Denny Hamlin,405,411,7
Kyle Busch,412,412,1
Denny Hamlin,413,413,1
