Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,18,18,,
yellow_flag,19,22,4,"#15,16,17 accident turn 4",#50
green_flag,23,33,11,,
yellow_flag,34,38,5,#77 spun turn 3,#17
green_flag,39,46,8,,
yellow_flag,47,50,4,#18 spun turn 2,#16
green_flag,51,61,11,,
yellow_flag,62,67,6,#7 accident turn 4,#18
green_flag,68,101,34,,
yellow_flag,102,107,6,end of stage 1,#21
green_flag,108,126,19,,
yellow_flag,127,131,5,#23 spun turn 4,#51
green_flag,132,146,15,,
yellow_flag,147,151,5,#2 spun turn 3,#23
green_flag,152,166,15,,
yellow_flag,167,170,4,#5 spun turn 4,#78
green_flag,171,187,17,,
yellow_flag,188,191,4,#9 accident turn 4,#78
green_flag,192,192,1,,
yellow_flag,193,196,4,"#4,6,9,11,12,16,1921,23,24,34,38,45 accident frontstretch",none
green_flag,197,201,5,,
yellow_flag,202,208,7,end of stage 2,#50
green_flag,209,220,12,,
yellow_flag,221,224,4,#4 accident turn 2,#50
green_flag,225,254,30,,
yellow_flag,255,258,4,#16 spun turn 4,#51
green_flag,259,301,43,,
yellow_flag,302,307,6,end of stage 3,#31
green_flag,308,340,33,,
yellow_flag,341,345,5,#8 debris turn 1,#20
green_flag,346,346,1,,
yellow_flag,347,352,6,"#14,17,38,99 accident frontstretch",#42
green_flag,353,399,47,,
yellow_flag,400,404,5,#14 spun turn 1,#21
green_flag,405,405,1,,
yellow_flag,406,411,6,"#1,3,5,19,22,41,47 accident turn 4",#20
green_flag,412,413,2,,
Percent of race run under caution: 21.8%             Average green flag run: 17.0 laps
