Rank,Driver,Points,Diff
1,Chase Elliott,489,
2,Ross Chastain,455,-34
3,Kyle Busch,452,-37
4,Ryan Blaney,436,-53
5,Martin Truex Jr,430,-59
6,Joey Logano,423,-66
7,William Byron,420,-69
8,Alex Bowman,415,-74
9,Kyle Larson,412,-77
10,Christopher Bell,400,-89
11,Kevin Harvick,373,-116
12,Tyler Reddick,350,-139
13,Chase Briscoe,349,-140
14,Aric Almirola,342,-147
15,Austin Dillon,328,-161
16,Erik Jones,321,-168
17,Denny Hamlin,309,-180
18,Daniel Suarez,301,-188
19,Austin Cindric,294,-195
20,Kurt Busch,289,-200
21,Chris Buescher,275,-214
