Rank,Driver,Points,Diff
1,Kevin Harvick,258,
2,Joey Logano,224,-34
3,Alex Bowman,219,-39
4,Denny Hamlin,201,-57
5,Chase Elliott,192,-66
6,Brad Keselowski,191,-67
7,Aric Almirola,186,-72
8,Martin Truex Jr,179,-79
9,Matt DiBenedetto,170,-88
9,Clint Bowyer,170,-88
11,Ryan Blaney,168,-90
12,Jimmie Johnson,161,-97
13,Kyle Busch,157,-101
14,Kurt Busch,151,-107
15,Erik Jones,146,-112
16,William Byron,129,-129
17,Tyler Reddick,125,-133
18,Bubba Wallace,124,-134
19,Chris Buescher,121,-137
19,Kyle Larson,121,-137
21,Austin Dillon,120,-138
