Rank,Driver,Wins,Points
1,Joey Logano,2,224
2,Denny Hamlin,2,201
3,Kevin Harvick,1,258
4,Alex Bowman,1,219
5,Chase Elliott,0,192
6,Brad Keselowski,0,191
7,Aric Almirola,0,186
8,Martin Truex Jr,0,179
9,Clint Bowyer,0,170
9,Matt DiBenedetto,0,170
11,Ryan Blaney,0,168
12,Jimmie Johnson,0,161
13,Kyle Busch,0,157
14,Kurt Busch,0,151
15,Erik Jones,0,146
16,William Byron,0,129
