Rank,Driver,Points,Diff
1,Martin Truex Jr,3036,
1,William Byron,3036,0
3,Denny Hamlin,3032,-4
4,Kyle Larson,3023,-13
5,Chris Buescher,3021,-15
6,Kyle Busch,3019,-17
7,Christopher Bell,3016,-20
8,Tyler Reddick,3014,-22
9,Brad Keselowski,3011,-25
9,Ross Chastain,3011,-25
11,Ryan Blaney,3008,-28
12,Bubba Wallace,3000,-36
13,Kevin Harvick,2071,-965
13,Joey Logano,2071,-965
15,Ricky Stenhouse Jr,2068,-968
16,Michael McDowell,2059,-977
17,Ty Gibbs,648,-2388
18,Chase Elliott,631,-2405
19,Daniel Suarez,613,-2423
20,Alex Bowman,587,-2449
