Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,3,3
Denny Hamlin,4,38,35
Joey Logano,39,39,1
Denny Hamlin,40,74,35
Ryan Blaney,75,140,66
Denny Hamlin,141,174,34
Ryan Blaney,175,264,90
Denny Hamlin,265,290,26
Joey Logano,291,291,1
Bubba Wallace,292,314,23
William Byron,315,323,9
Denny Hamlin,324,372,49
Joey Logano,373,373,1
Christopher Bell,374,382,9
Denny Hamlin,383,453,71
Ryan Blaney,454,454,1
"Martin Truex, Jr.",455,458,4
Denny Hamlin,459,484,26
"Martin Truex, Jr.",485,500,16
