Rank,Driver,Wins,Points
1,Martin Truex Jr,2,303
2,Joey Logano,1,302
3,Kyle Larson,1,280
4,Ryan Blaney,1,272
5,William Byron,1,270
6,Christopher Bell,1,217
7,Michael McDowell,1,189
8,Denny Hamlin,0,379
9,Chase Elliott,0,260
10,Kevin Harvick,0,253
11,Brad Keselowski,0,244
12,Kyle Busch,0,212
13,Austin Dillon,0,209
14,Ricky Stenhouse Jr,0,202
15,Chris Buescher,0,192
16,Kurt Busch,0,190
