Rank,Driver,Points,Diff
1,Denny Hamlin,379,
2,Martin Truex Jr,303,-76
3,Joey Logano,302,-77
4,Kyle Larson,280,-99
5,Ryan Blaney,272,-107
6,William Byron,270,-109
7,Chase Elliott,260,-119
8,Kevin Harvick,253,-126
9,Brad Keselowski,244,-135
10,Christopher Bell,217,-162
11,Kyle Busch,212,-167
12,Austin Dillon,209,-170
13,Ricky Stenhouse Jr,202,-177
14,Chris Buescher,192,-187
15,Kurt Busch,190,-189
16,Michael McDowell,189,-190
17,Alex Bowman,185,-194
18,Ryan Newman,167,-212
19,Bubba Wallace,157,-222
20,Ryan Preece,155,-224
21,Tyler Reddick,144,-235
