Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,9,9,,
yellow_flag,10,12,3,#9 accident turn 2,none
green_flag,13,15,3,,
yellow_flag,16,19,4,debris turn 3,#15
green_flag,20,43,24,,
yellow_flag,44,47,4,#32 accident turn 4,#00
green_flag,48,54,7,,
yellow_flag,55,62,8,"#2,17 accident turn 4",#66
green_flag,63,72,10,,
yellow_flag,73,76,4,#32 accident turn 3,#66
green_flag,77,81,5,,
yellow_flag,82,84,3,#11 accident frontstretch,#27
green_flag,85,86,2,,
yellow_flag,87,95,9,end of stage 1,#27
green_flag,96,171,76,,
yellow_flag,172,177,6,end of stage 2,#19
green_flag,178,186,9,,
yellow_flag,187,190,4,#48 accident turn 2,#43
green_flag,191,191,1,,
yellow_flag,192,196,5,"#38,52 accident turn 2",#36
green_flag,197,242,46,,
yellow_flag,243,248,6,#43 accident turn 2,none
green_flag,249,334,86,,
Percent of race run under caution: 16.8%             Average green flag run: 23.2 laps
