Leader,From Lap,To Lap,# Of Laps
Erik Jones,1,1,1
Kevin Harvick,2,12,11
Erik Jones,13,14,2
Kevin Harvick,15,45,31
Erik Jones,46,48,3
Clint Bowyer,49,84,36
Kevin Harvick,85,87,3
Alex Bowman,88,98,11
Jimmie Johnson,99,138,40
Aric Almirola,139,143,5
Daniel Suarez,144,145,2
Erik Jones,146,147,2
William Byron,148,151,4
Kevin Harvick,152,152,1
Kurt Busch,153,153,1
Kyle Busch,154,164,11
Aric Almirola,165,173,9
Erik Jones,174,174,1
William Byron,175,178,4
Daniel Suarez,179,201,23
Aric Almirola,202,240,39
Joey Logano,241,245,5
Aric Almirola,246,254,9
Kevin Harvick,255,306,52
Kyle Busch,307,313,7
Kevin Harvick,314,334,21
