Rank,Driver,Points,Diff
1,Martin Truex Jr,4133,
2,Kyle Busch,4113,-20
2,Kevin Harvick,4113,-20
4,Joey Logano,4111,-22
5,Denny Hamlin,4091,-42
6,Ryan Blaney,4088,-45
6,Kyle Larson,4088,-45
8,Chase Elliott,4033,-100
9,Brad Keselowski,2265,-1868
10,William Byron,2247,-1886
11,Clint Bowyer,2225,-1908
12,Alex Bowman,2215,-1918
13,Aric Almirola,2204,-1929
14,Kurt Busch,2193,-1940
15,Ryan Newman,2170,-1963
16,Erik Jones,2127,-2006
17,Daniel Suarez,801,-3332
18,Jimmie Johnson,784,-3349
19,Paul Menard,732,-3401
20,Chris Buescher,687,-3446
21,Austin Dillon,667,-3466
