Leader,From Lap,To Lap,# Of Laps
Michael McDowell,1,29,29
Ryan Blaney,30,62,33
B.J. McLeod,63,63,1
Alex Bowman,64,67,4
Austin Cindric,68,68,1
Alex Bowman,69,69,1
Austin Cindric,70,115,46
Ryan Preece,116,117,2
Austin Cindric,118,162,45
Carson Hocevar,163,163,1
Ross Chastain,164,167,4
Michael McDowell,168,168,1
Ross Chastain,169,177,9
Ty Gibbs,178,199,22
Bubba Wallace,200,207,8
Kyle Busch,208,222,15
William Byron,223,223,1
Kyle Busch,224,232,9
William Byron,233,233,1
Ty Gibbs,234,247,14
Daniel Suarez,248,255,8
Ty Gibbs,256,256,1
Joey Logano,257,263,7
Daniel Suarez,264,264,1
Joey Logano,265,266,2
