Rank,Driver,Points,Diff
1,Ryan Blaney,2071,
2,Christopher Bell,2066,-5
3,Tyler Reddick,2059,-12
3,William Byron,2059,-12
5,Joey Logano,2054,-17
6,Alex Bowman,2053,-18
6,Austin Cindric,2053,-18
8,Chase Elliott,2050,-21
9,Daniel Suarez,2048,-23
10,Kyle Larson,2041,-30
11,Denny Hamlin,2028,-43
12,Ty Gibbs,2027,-44
13,Brad Keselowski,2026,-45
14,Harrison Burton,2011,-60
15,Martin Truex Jr,2008,-63
16,Chase Briscoe,2006,-65
17,Ross Chastain,696,-1375
18,Chris Buescher,691,-1380
19,Bubba Wallace,677,-1394
20,Kyle Busch,617,-1454
