Rank,Driver,Points,Diff
1,Denny Hamlin,798,
2,Kyle Larson,795,-3
3,William Byron,713,-85
4,Kyle Busch,685,-113
5,Joey Logano,678,-120
6,Chase Elliott,674,-124
7,Martin Truex Jr,634,-164
8,Ryan Blaney,603,-195
9,Kevin Harvick,599,-199
10,Brad Keselowski,593,-205
11,Alex Bowman,561,-237
12,Austin Dillon,544,-254
13,Tyler Reddick,521,-277
14,Kurt Busch,471,-327
15,Christopher Bell,463,-335
16,Chris Buescher,446,-352
17,Michael McDowell,426,-372
18,Ross Chastain,402,-396
19,Ricky Stenhouse Jr,401,-397
20,Matt DiBenedetto,397,-401
21,Bubba Wallace,392,-406
