Rank,Driver,Wins,Points
1,Kyle Larson,4,795
2,Martin Truex Jr,3,634
3,Alex Bowman,3,561
4,Kyle Busch,2,685
5,Chase Elliott,2,674
6,William Byron,1,713
7,Joey Logano,1,678
8,Ryan Blaney,1,603
9,Brad Keselowski,1,593
10,Christopher Bell,1,463
11,Michael McDowell,1,426
12,Denny Hamlin,0,798
13,Kevin Harvick,0,599
14,Austin Dillon,0,544
15,Tyler Reddick,0,521
16,Kurt Busch,0,471
