Rank,Driver,Points,Diff
1,Martin Truex Jr,744,
2,Denny Hamlin,706,-38
3,William Byron,700,-44
4,Christopher Bell,653,-91
5,Kyle Busch,648,-96
6,Kevin Harvick,634,-110
7,Ross Chastain,626,-118
8,Kyle Larson,619,-125
9,Ryan Blaney,614,-130
10,Joey Logano,609,-135
11,Brad Keselowski,603,-141
12,Tyler Reddick,602,-142
13,Chris Buescher,598,-146
14,Ricky Stenhouse Jr,514,-230
15,Bubba Wallace,506,-238
16,Michael McDowell,470,-274
17,Ty Gibbs,452,-292
18,A.J. Allmendinger,448,-296
19,Daniel Suarez,436,-308
20,Chase Elliott,430,-314
21,Alex Bowman,428,-316
