Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,26,17,Chris Buescher,Fastenal   (Jack Roush),Ford,400,running,88,49,5
2,3,11,Denny Hamlin,Mavis Tires & Brakes   (Joe Gibbs),Toyota,400,running,20,49,0
3,2,8,Kyle Busch,X World Wallet   (Richard Childress),Chevrolet,400,running,0,39,0
4,23,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,400,running,0,34,0
5,11,41,Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,400,running,0,41,0
6,13,6,Brad Keselowski,BuildSubmarines.com   (Jack Roush),Ford,400,running,102,43,1
7,10,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,400,running,18,33,0
8,24,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,400,running,0,32,0
9,17,3,Austin Dillon,Bass Pro Shops Club   (Richard Childress),Chevrolet,400,running,0,28,0
10,8,4,Kevin Harvick,Rheem   (Stewart Haas Racing),Ford,400,running,0,33,0
11,20,14,Chase Briscoe,Rush Truck Centers   (Stewart Haas Racing),Ford,400,running,0,26,0
12,5,23,Bubba Wallace,McDonald's   (23XI Racing),Toyota,400,running,80,41,0
13,4,9,Chase Elliott,UniFirst   (Rick Hendrick),Chevrolet,400,running,0,31,0
14,25,12,Ryan Blaney,BodyArmor   (Roger Penske),Ford,400,running,2,23,0
15,7,54,Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,400,running,0,25,0
16,1,45,Tyler Reddick,Xfinity 10G Network   (23XI Racing),Toyota,400,running,81,39,1
17,9,47,Ricky Stenhouse Jr,Kleenex   (JTG-Daugherty Racing),Chevrolet,400,running,0,20,0
18,15,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,400,running,0,19,0
19,14,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,400,running,0,18,0
20,29,20,Christopher Bell,Mac Tools   (Joe Gibbs),Toyota,399,running,0,17,0
21,6,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,399,running,0,20,0
22,18,34,Michael McDowell,StageFront.VIP   (Bob Jenkins),Ford,399,running,9,15,0
23,27,43,Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,399,running,0,14,0
24,19,1,Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,399,running,0,13,0
25,16,38,Todd Gilliland,Speedy Cash   (Bob Jenkins),Ford,399,running,0,12,0
26,30,2,Austin Cindric,Menards  Jack Links   (Roger Penske),Ford,399,running,0,11,0
27,36,16,A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,399,running,0,10,0
28,12,42,Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,398,running,0,9,0
29,32,51,Ryan Newman,Parts Plus/Biohaven   (Rick Ware),Ford,398,running,0,8,0
30,28,31,Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,398,running,0,7,0
31,22,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,397,running,0,6,0
32,31,7,Corey LaJoie,FOE   (Spire Motorsports),Chevrolet,397,running,0,5,0
33,33,99,Daniel Suarez,Jockey   (Trackhouse Racing),Chevrolet,396,running,0,4,0
34,34,77,Ty Dillon,Gainbridge   (Spire Motorsports),Chevrolet,396,running,0,3,0
35,35,15,J.J. Yeley,Patriot Mobile   (Rick Ware),Ford,396,running,0,0,0
36,21,78,B.J. McLeod,FREEDOMWORKSHERE.COM   (B.J. McLeod),Chevrolet,395,running,0,1,0
