Leader,From Lap,To Lap,# Of Laps
Tyler Reddick,1,78,78
Bubba Wallace,79,122,44
Denny Hamlin,123,128,6
Michael McDowell,129,137,9
Bubba Wallace,138,173,36
Tyler Reddick,174,175,2
Denny Hamlin,176,180,5
Martin Truex Jr,181,181,1
Brad Keselowski,182,233,52
Tyler Reddick,234,234,1
Brad Keselowski,235,284,50
Denny Hamlin,285,292,8
Martin Truex Jr,293,304,12
Chris Buescher,305,339,35
Ryan Blaney,340,341,2
Martin Truex Jr,342,346,5
Chris Buescher,347,392,46
Denny Hamlin,393,393,1
Chris Buescher,394,400,7
