Rank,Driver,Wins,Points
1,Martin Truex Jr,3,744
2,Denny Hamlin,2,705
3,William Byron,4,701
4,Christopher Bell,1,653
5,Kyle Busch,3,648
6,Kevin Harvick,0,634
7,Ross Chastain,1,626
8,Kyle Larson,2,619
9,Ryan Blaney,1,614
10,Joey Logano,1,609
11,Brad Keselowski,0,603
12,Tyler Reddick,1,602
13,Chris Buescher,1,598
14,Ricky Stenhouse Jr,1,514
15,Bubba Wallace,0,506
16,Michael McDowell,0,470
