Rank,Driver,Points,Diff
1,Kyle Larson,779,
2,Tyler Reddick,774,-5
3,Chase Elliott,773,-6
4,Denny Hamlin,758,-21
5,Ryan Blaney,702,-77
6,Christopher Bell,701,-78
7,William Byron,678,-101
8,Martin Truex Jr,662,-117
9,Brad Keselowski,636,-143
10,Alex Bowman,615,-164
11,Ty Gibbs,602,-177
12,Bubba Wallace,587,-192
13,Chris Buescher,584,-195
13,Ross Chastain,584,-195
15,Joey Logano,557,-222
16,Daniel Suarez,497,-282
17,Chase Briscoe,485,-294
18,Kyle Busch,465,-314
19,Todd Gilliland,454,-325
20,Austin Cindric,451,-328
21,Michael McDowell,431,-348
