Leader,From Lap,To Lap,# Of Laps
Denny Hamlin,1,45,45
Christopher Bell,46,80,35
Denny Hamlin,81,83,3
Christopher Bell,84,84,1
Denny Hamlin,85,92,8
Daniel Suarez,93,121,29
Denny Hamlin,122,123,2
Chase Elliott,124,126,3
Kyle Larson,127,143,17
Christopher Bell,144,176,33
Chase Elliott,177,177,1
Tyler Reddick,178,185,8
Daniel Suarez,186,235,50
Christopher Bell,236,281,46
Chase Elliott,282,282,1
Daniel Suarez,283,292,10
Denny Hamlin,293,332,40
Austin Dillon,333,333,1
Carson Hocevar,334,335,2
Christopher Bell,336,342,7
Daniel Suarez,343,346,4
Denny Hamlin,347,371,25
Austin Dillon,372,400,29
Denny Hamlin,401,401,1
Austin Dillon,402,405,4
Joey Logano,406,407,2
Austin Dillon,408,408,1
