Rank,Driver,Wins,Points
1,Kyle Larson,4,779
2,Tyler Reddick,1,774
3,Chase Elliott,1,773
4,Denny Hamlin,3,758
5,Ryan Blaney,2,702
6,Christopher Bell,3,701
7,William Byron,3,678
8,Martin Truex Jr,0,662
9,Brad Keselowski,1,636
10,Alex Bowman,1,615
11,Ty Gibbs,0,602
12,Bubba Wallace,0,587
13,Chris Buescher,0,584
13,Ross Chastain,0,584
15,Joey Logano,1,557
16,Daniel Suarez,1,497
