Rank,Driver,Wins,Points
1,Chase Elliott,1,703
2,Kyle Larson,3,700
3,Tyler Reddick,1,688
4,Denny Hamlin,3,683
5,William Byron,3,646
6,Martin Truex Jr,0,640
7,Ryan Blaney,2,627
8,Christopher Bell,3,616
9,Brad Keselowski,1,599
10,Alex Bowman,1,596
11,Ty Gibbs,0,570
12,Chris Buescher,0,547
13,Ross Chastain,0,530
14,Joey Logano,1,522
15,Bubba Wallace,0,503
16,Chase Briscoe,0,455
