Rank,Driver,Points,Diff
1,Chase Elliott,703,
2,Kyle Larson,700,-3
3,Tyler Reddick,688,-15
4,Denny Hamlin,683,-20
5,William Byron,646,-57
6,Martin Truex Jr,640,-63
7,Ryan Blaney,627,-76
8,Christopher Bell,616,-87
9,Brad Keselowski,599,-104
10,Alex Bowman,596,-107
11,Ty Gibbs,570,-133
12,Chris Buescher,547,-156
13,Ross Chastain,530,-173
14,Joey Logano,522,-181
15,Bubba Wallace,503,-200
16,Chase Briscoe,455,-248
17,Daniel Suarez,431,-272
18,Kyle Busch,428,-275
19,Austin Cindric,408,-295
20,Todd Gilliland,403,-300
21,Josh Berry,386,-317
