Rank,Driver,Wins,Points
1,Denny Hamlin,1,52
1,Joey Logano,0,52
3,Kyle Busch,0,45
4,Ricky Stenhouse Jr,0,39
5,Erik Jones,0,35
5,Alex Bowman,0,35
7,Jimmie Johnson,0,33
7,Kyle Larson,0,33
9,Brad Keselowski,0,32
9,Ty Dillon,0,32
9,Michael McDowell,0,32
12,Ryan Preece,0,30
13,Ryan Blaney,0,27
13,Kevin Harvick,0,27
13,Chase Elliott,0,27
16,Clint Bowyer,0,26
