Rank,Driver,Points,Diff
1,Denny Hamlin,52,
1,Joey Logano,52,0
3,Kyle Busch,45,-7
4,Ricky Stenhouse Jr,39,-13
5,Erik Jones,35,-17
5,Alex Bowman,35,-17
7,Kyle Larson,33,-19
7,Jimmie Johnson,33,-19
9,Michael McDowell,32,-20
9,Ty Dillon,32,-20
9,Brad Keselowski,32,-20
12,Ryan Preece,30,-22
13,Chase Elliott,27,-25
13,Kevin Harvick,27,-25
13,Ryan Blaney,27,-25
16,Clint Bowyer,26,-26
17,Ryan Newman,25,-27
17,William Byron,25,-27
19,Austin Dillon,23,-29
20,Matt DiBenedetto,21,-31
20,Aric Almirola,21,-31
