Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,21,21,,
yellow_flag,22,24,3,debris turn 2,#52
green_flag,25,50,26,,
yellow_flag,51,53,3,"#43,1,40,17,31,3 accident turn 2",#52
green_flag,54,61,8,,
yellow_flag,62,65,4,end of stage 1,#1
green_flag,66,107,42,,
yellow_flag,108,111,4,"#27,96 accident turn 1",#36
green_flag,112,121,10,,
yellow_flag,122,125,4,end of stage 2,#38
green_flag,126,159,34,,
yellow_flag,160,167,8,"#31,17,51,52,48 accident pit road",#37
green_flag,168,174,7,,
yellow_flag,175,177,3,debris turn 3,#48
green_flag,178,181,4,,
yellow_flag,182,184,3,#42 accident turn 3,#48
green_flag,185,187,3,,
yellow_flag,188,190,3,#2 accident frontstretch,#20
green_flag,191,191,1,,
yellow_flag,192,194,3,"#95,21,20,12,36,41,3,6,10,38,17,47,37,8,19,9,48,24,13,22,42 accident turn 3",#2
green_flag,195,195,1,,
yellow_flag,196,198,3,"#17,42,9,88,4,13,2 accident turn 3",#20
green_flag,199,199,1,,
yellow_flag,200,205,6,"#14,34,9,00,24,40,2,62 accident turn 3",#6
green_flag,206,207,2,,
Percent of race run under caution: 22.7%             Average green flag run: 12.3 laps
