Rank,Driver,Points,Diff
1,Chase Elliott,787,
2,Ross Chastain,682,-105
3,Ryan Blaney,676,-111
4,Kyle Larson,661,-126
5,Martin Truex Jr,654,-133
6,Christopher Bell,605,-182
7,Joey Logano,599,-188
8,Kyle Busch,595,-192
9,William Byron,572,-215
10,Kevin Harvick,571,-216
11,Alex Bowman,536,-251
12,Daniel Suarez,526,-261
13,Aric Almirola,514,-273
14,Tyler Reddick,509,-278
15,Austin Cindric,495,-292
16,Chase Briscoe,487,-300
17,Kurt Busch,485,-302
18,Erik Jones,472,-315
19,Austin Dillon,448,-339
20,Denny Hamlin,443,-344
21,Bubba Wallace,418,-369
