Leader,From Lap,To Lap,# Of Laps
Michael McDowell,1,5,5
Joey Logano,6,6,1
Josh Berry,7,7,1
Brad Keselowski,8,11,4
Josh Berry,12,12,1
William Byron,13,13,1
Josh Berry,14,14,1
Joey Logano,15,19,5
Todd Gilliland,20,21,2
Joey Logano,22,23,2
Todd Gilliland,24,26,3
Josh Berry,27,29,3
Joey Logano,30,34,5
Josh Berry,35,37,3
Ricky Stenhouse Jr,38,39,2
Joey Logano,40,45,6
Bubba Wallace,46,47,2
Chris Buescher,48,48,1
Bubba Wallace,49,49,1
Chase Briscoe,50,51,2
Bubba Wallace,52,62,11
Carson Hocevar,63,63,1
Chris Buescher,64,72,9
Bubba Wallace,73,74,2
Joey Logano,75,77,3
Kyle Larson,78,78,1
Joey Logano,79,79,1
Kyle Larson,80,80,1
Joey Logano,81,88,8
Kyle Larson,89,91,3
Brad Keselowski,92,94,3
Joey Logano,95,97,3
Brad Keselowski,98,98,1
Michael McDowell,99,118,20
Justin Haley,119,139,21
Kyle Busch,140,142,3
Austin Cindric,143,150,8
Michael McDowell,151,151,1
Austin Cindric,152,158,7
Kyle Busch,159,163,5
Harrison Burton,164,164,1
