Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,20,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,164,running,1,40,5
2,11,8,Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,164,running,8,39,0
3,27,20,Christopher Bell,Interstate Batteries   (Joe Gibbs),Toyota,164,running,0,34,0
4,33,15,Cody Ware,Jacob Construction/Parts Plus   (Rick Ware),Ford,164,running,0,33,0
5,26,54,Ty Gibbs,REAGAN The Movie   (Joe Gibbs),Toyota,164,running,0,32,0
6,18,23,Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,164,running,16,32,0
7,29,62,Parker Retzlaff,FUNKAWAY   (Beard Motorsports),Chevrolet,164,running,0,0,0
8,12,6,Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,164,running,8,41,0
9,28,31,Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,164,running,0,28,0
10,13,17,Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,164,running,10,37,0
11,37,77,Carson Hocevar,Premier Security   (Spire Motorsports),Chevrolet,164,running,1,26,0
12,24,1,Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,164,running,0,25,0
13,30,71,Zane Smith,Focused Health   (Spire Motorsports),Chevrolet,164,running,0,24,0
14,6,14,Chase Briscoe,Mahindra Compact Tractors   (Stewart Haas Racing),Ford,164,running,2,23,0
15,31,42,John H. Nemechek,Pye Barker Fire & Safety   (Legacy Motor Club),Toyota,164,running,0,22,0
16,21,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,164,running,0,21,0
17,40,43,Erik Jones,Family Dollar   (Legacy Motor Club),Toyota,164,running,0,20,0
18,8,2,Austin Cindric,Menards  Tarkett   (Roger Penske),Ford,164,running,15,26,0
19,38,78,B.J. McLeod,Power Slap   (B.J. McLeod),Chevrolet,164,running,0,0,0
20,39,44,Joey Gase,NFPA   (Johnathan Cohen),Chevrolet,164,running,0,0,0
21,9,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,163,running,5,24,0
22,16,3,Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,162,running,0,15,0
23,2,38,Todd Gilliland,Grillo's Pickles   (Bob Jenkins),Ford,162,running,5,25,0
24,17,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,161,running,0,13,0
25,23,33,Austin Hill,United Rentals   (Richard Childress),Chevrolet,159,crash,0,0,0
26,5,4,Josh Berry,eero   (Stewart Haas Racing),Ford,158,crash,9,21,1
27,7,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,158,crash,1,15,0
28,25,45,Tyler Reddick,MoneyLion   (23XI Racing),Toyota,156,crash,0,9,0
29,14,12,Ryan Blaney,Advance Auto Parts   (Roger Penske),Ford,154,crash,0,23,0
30,1,34,Michael McDowell,LONG JOHN SILVER'S   (Bob Jenkins),Ford,151,crash,26,10,0
31,3,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,151,crash,34,25,1
32,36,51,Justin Haley,Beef a Roo   (Rick Ware),Ford,151,crash,21,10,0
33,35,47,Ricky Stenhouse Jr,Kroger/BIGGIE Muffins/CapriSun   (JTG-Daugherty Racing),Chevrolet,151,crash,2,4,0
34,34,7,Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,132,running,0,3,0
35,32,16,Shane Van Gisbergen,Safety Culture   (Matthew Kaulig),Chevrolet,80,engine,0,0,0
36,10,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,61,crash,0,1,0
37,15,10,Noah Gragson,Rush Truck Centers   (Stewart Haas Racing),Ford,59,crash,0,1,0
38,19,11,Denny Hamlin,FedEx Cares   (Joe Gibbs),Toyota,59,crash,0,1,0
39,4,41,Ryan Preece,TRUEWERK   (Stewart Haas Racing),Ford,59,dvp,0,1,0
40,22,99,Daniel Suarez,Coca-Cola Zero Sugar   (Trackhouse Racing),Chevrolet,37,fire,0,1,0
