Rank,Driver,Points,Diff
1,Tyler Reddick,823,
2,Kyle Larson,806,-17
3,Chase Elliott,805,-18
4,Ryan Blaney,755,-68
5,William Byron,743,-80
6,Christopher Bell,737,-86
7,Brad Keselowski,718,-105
8,Denny Hamlin,712,-111
9,Martin Truex Jr,695,-128
10,Ty Gibbs,676,-147
11,Chris Buescher,658,-165
12,Alex Bowman,648,-175
13,Bubba Wallace,637,-186
14,Ross Chastain,631,-192
15,Joey Logano,586,-237
16,Kyle Busch,552,-271
17,Daniel Suarez,527,-296
18,Chase Briscoe,514,-309
19,Austin Cindric,486,-337
20,Todd Gilliland,480,-343
21,Carson Hocevar,467,-356
