Rank,Driver,Wins,Points
1,Tyler Reddick,2,823
2,Kyle Larson,4,806
3,Chase Elliott,1,805
4,Ryan Blaney,2,755
5,William Byron,3,743
6,Christopher Bell,3,737
7,Brad Keselowski,1,718
8,Denny Hamlin,3,712
9,Martin Truex Jr,0,695
10,Ty Gibbs,0,676
11,Chris Buescher,0,658
12,Alex Bowman,1,648
13,Bubba Wallace,0,637
14,Ross Chastain,0,631
15,Joey Logano,1,586
16,Kyle Busch,0,552
