Rank,Driver,Points,Diff
1,Martin Truex Jr,3095,
2,Kyle Busch,3080,-15
2,Denny Hamlin,3080,-15
4,Kevin Harvick,3074,-21
5,Kyle Larson,3063,-32
6,Brad Keselowski,3052,-43
7,Alex Bowman,3049,-46
8,Joey Logano,3032,-63
8,William Byron,3032,-63
10,Clint Bowyer,3028,-67
11,Chase Elliott,3025,-70
12,Ryan Blaney,3010,-85
13,Aric Almirola,2101,-994
14,Ryan Newman,2085,-1010
15,Kurt Busch,2084,-1011
16,Erik Jones,2037,-1058
17,Jimmie Johnson,740,-2355
18,Daniel Suarez,730,-2365
19,Paul Menard,656,-2439
20,Chris Buescher,599,-2496
21,Matt DiBenedetto,585,-2510
