driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Alex Bowman,8,12,1,1,14,6,2,18,16,14,77.8,7,58,100.0,8,13.8,58,114.4
Tyler Reddick,4,5,2,2,17,7,-2,23,25,19,82.6,2,53,91.4,0,0.0,58,107.5
Ty Gibbs,2,1,3,1,15,4,-3,20,23,17,85.0,2,58,100.0,17,29.3,58,124.1
Joey Hand,38,16,4,1,38,13,25,35,10,12,34.3,1,28,48.3,7,12.1,58,95.2
Michael McDowell,3,28,5,3,37,26,-13,40,53,12,30.0,0,8,13.8,0,0.0,58,58.5
Ricky Stenhouse Jr,33,14,6,4,37,18,21,52,31,13,25.0,1,34,58.6,0,0.0,58,84.0
Todd Gilliland,26,6,7,3,26,9,10,31,21,22,71.0,0,48,82.8,0,0.0,58,101.5
William Byron,27,35,8,8,39,27,26,47,21,7,14.9,1,4,6.9,0,0.0,58,72.2
Kyle Busch,19,9,9,9,27,16,2,33,31,9,27.3,1,38,65.5,0,0.0,58,89.5
Ryan Blaney,17,27,10,9,36,26,11,43,32,7,16.3,0,5,8.6,0,0.0,58,52.3
Daniel Suarez,9,39,11,9,39,21,-5,40,45,9,22.5,1,27,46.6,0,0.0,58,87.8
Daniel Hemric,35,22,12,7,35,20,14,43,29,7,16.3,0,16,27.6,0,0.0,58,66.2
Bubba Wallace,6,32,13,5,39,21,-11,42,53,8,19.0,1,26,44.8,0,0.0,58,83.2
Noah Gragson,28,24,14,6,35,21,5,40,35,5,12.5,0,16,27.6,0,0.0,58,60.5
Austin Cindric,21,29,15,15,39,29,-11,36,47,0,0.0,0,1,1.7,0,0.0,58,47.8
Justin Haley,23,17,16,10,35,20,21,39,18,5,12.8,0,12,20.7,0,0.0,58,76.8
Zane Smith,30,4,17,1,37,20,-30,32,62,1,3.1,0,16,27.6,3,5.2,58,60.0
Brad Keselowski,10,18,18,3,35,17,16,32,16,7,21.9,1,24,41.4,0,0.0,58,72.2
Austin Dillon,15,21,19,14,38,24,-14,41,55,2,4.9,0,4,6.9,0,0.0,58,54.0
Chris Buescher,16,19,20,11,36,22,28,45,17,5,11.1,0,5,8.6,0,0.0,58,72.2
Chase Elliott,18,8,21,6,33,15,-8,34,42,8,23.5,1,40,69.0,0,0.0,58,75.5
Ross Chastain,14,10,22,6,38,16,5,31,26,9,29.0,0,41,70.7,0,0.0,58,81.2
Joey Logano,32,34,23,22,40,33,-11,36,47,0,0.0,0,0,0.0,0,0.0,58,39.7
Carson Hocevar,13,23,24,4,25,16,-11,34,45,6,17.6,0,15,25.9,0,0.0,58,71.0
Harrison Burton,31,37,25,8,40,30,0,28,28,5,17.9,0,12,20.7,0,0.0,58,46.0
Kaz Grala,40,13,26,11,40,21,14,40,26,7,17.5,0,20,34.5,0,0.0,58,67.5
Corey LaJoie,20,31,27,20,39,33,9,45,36,0,0.0,1,0,0.0,0,0.0,58,55.0
Josh Bilicki,39,26,28,12,40,29,13,50,37,3,6.0,0,5,8.6,0,0.0,58,39.0
Erik Jones,25,36,29,25,39,35,6,24,18,0,0.0,0,0,0.0,0,0.0,58,36.8
Denny Hamlin,11,15,30,10,38,22,-29,44,73,5,11.4,1,14,24.1,0,0.0,58,50.7
Austin Hill,34,20,31,13,34,23,-10,34,44,1,2.9,0,1,1.7,0,0.0,58,51.8
Chase Briscoe,22,38,32,4,38,19,15,47,32,17,36.2,2,34,58.6,0,0.0,58,71.3
Martin Truex Jr,24,25,33,3,37,21,-21,51,72,14,27.5,0,18,31.0,0,0.0,58,46.3
Ryan Preece,29,30,34,10,39,28,-13,44,57,5,11.4,0,10,17.2,0,0.0,58,33.8
John H. Nemechek,12,7,35,4,36,12,-28,20,48,11,55.0,1,47,82.5,0,0.0,57,73.9
Josh Berry,36,33,36,16,40,32,-3,35,38,0,0.0,0,0,0.0,0,0.0,57,32.7
Christopher Bell,7,2,37,1,35,6,-28,19,47,19,100.0,6,54,98.2,14,25.5,55,91.5
A.J. Allmendinger,37,11,38,6,37,19,3,27,24,7,25.9,0,21,43.8,0,0.0,48,68.2
Kyle Larson,1,3,39,1,5,19,-2,2,4,2,100.0,0,33,100.0,0,0.0,33,90.3
Shane Van Gisbergen,5,40,40,1,6,24,6,9,3,9,100.0,3,24,100.0,9,37.5,24,83.5
