Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,8,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,58,running,8,54,5
2,4,45,Tyler Reddick,Jordan Brand   (23XI Racing),Toyota,58,running,0,37,0
3,2,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,58,running,17,42,0
4,38,60,Joey Hand,BuildSubmarines.com   (Jack Roush),Ford,58,running,7,43,1
5,3,34,Michael McDowell,Chicago White Sox   (Bob Jenkins),Ford,58,running,0,32,0
6,33,47,Ricky Stenhouse Jr,Mariano's/Colgate Optic White   (JTG-Daugherty Racing),Chevrolet,58,running,0,34,0
7,26,38,Todd Gilliland,gener8tor   (Bob Jenkins),Ford,58,running,0,33,0
8,27,24,William Byron,Relay Payments   (Rick Hendrick),Chevrolet,58,running,0,29,0
9,19,8,Kyle Busch,Zone   (Richard Childress),Chevrolet,58,running,0,28,0
10,17,12,Ryan Blaney,Menards  Dutch Boy   (Roger Penske),Ford,58,running,0,27,0
11,9,99,Daniel Suarez,Jockey x Folds of Honor   (Trackhouse Racing),Chevrolet,58,running,0,27,0
12,35,31,Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,58,running,0,29,0
13,6,23,Bubba Wallace,McDonald's   (23XI Racing),Toyota,58,running,0,28,0
14,28,10,Noah Gragson,Bass Pro Shops Winchester   (Stewart Haas Racing),Ford,58,running,0,28,0
15,21,2,Austin Cindric,Discount Tire   (Roger Penske),Ford,58,running,0,22,0
16,23,51,Justin Haley,Pinnacle Home Improvement   (Rick Ware),Ford,58,running,0,21,0
17,30,71,Zane Smith,Focused Health   (Spire Motorsports),Chevrolet,58,running,3,20,0
18,10,6,Brad Keselowski,Elk Grove Village   (Jack Roush),Ford,58,running,0,27,0
19,15,3,Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,58,running,0,18,0
20,16,17,Chris Buescher,Fastenal   (Jack Roush),Ford,58,running,0,17,0
21,18,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,58,running,0,16,0
22,14,1,Ross Chastain,Busch Light Peach   (Trackhouse Racing),Chevrolet,58,running,0,15,0
23,32,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,58,running,0,14,0
24,13,77,Carson Hocevar,Zeigler Auto Group   (Spire Motorsports),Chevrolet,58,running,0,20,0
25,31,21,Harrison Burton,Motorcraft  Quick Lane   (Wood Brothers),Ford,58,running,0,14,0
26,40,15,Kaz Grala,Remixers.comMeat n' Bone   (Rick Ware),Ford,58,running,0,11,0
27,20,7,Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,58,running,0,10,0
28,39,66,Josh Bilicki,Purekick Hydration   (Carl Long),Ford,58,running,0,0,0
29,25,43,Erik Jones,AdventHealth   (Legacy Motor Club),Toyota,58,running,0,8,0
30,11,11,Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,58,running,0,8,0
31,34,33,Austin Hill,United Rentals   (Richard Childress),Chevrolet,58,running,0,0,0
32,22,14,Chase Briscoe,Mahindra Compact Tractors   (Stewart Haas Racing),Ford,58,running,0,12,0
33,24,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,58,running,0,10,0
34,29,41,Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,58,running,0,3,0
35,12,42,John H. Nemechek,Dollar Tree   (Legacy Motor Club),Toyota,57,running,0,2,0
36,36,4,Josh Berry,Overstock.com   (Stewart Haas Racing),Ford,57,running,0,1,0
37,7,20,Christopher Bell,CRAFTSMAN Racing for a Miracle   (Joe Gibbs),Toyota,55,crash,14,10,0
38,37,13,A.J. Allmendinger,Benesch   (Matthew Kaulig),Chevrolet,48,crash,0,0,0
39,1,5,Kyle Larson,Valvoline   (Rick Hendrick),Chevrolet,33,crash,0,7,0
40,5,16,Shane Van Gisbergen,Wendy's Saucy Nuggs   (Matthew Kaulig),Chevrolet,24,crash,9,0,0
