Rank,Driver,Wins,Points
1,Kyle Larson,3,671
2,Chase Elliott,1,660
3,Tyler Reddick,1,648
4,Denny Hamlin,3,629
5,Martin Truex Jr,0,601
6,William Byron,3,599
7,Ryan Blaney,1,587
8,Christopher Bell,3,586
9,Ty Gibbs,0,560
10,Brad Keselowski,1,558
11,Alex Bowman,1,553
12,Ross Chastain,0,529
13,Chris Buescher,0,521
14,Joey Logano,1,484
15,Bubba Wallace,0,476
16,Chase Briscoe,0,433
