Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,6,11,Denny Hamlin,Mavis Tire   (Joe Gibbs),Toyota,400,running,136,53,5
2,21,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,400,running,39,51,1
3,15,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,400,running,69,51,1
4,1,8,Kyle Busch,FICO   (Richard Childress),Chevrolet,400,running,34,42,0
5,29,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,400,running,0,40,0
6,5,10,Noah Gragson,MillerTech   (Stewart Haas Racing),Ford,400,running,0,31,0
7,2,12,Ryan Blaney,Wurth   (Roger Penske),Ford,400,running,47,40,0
8,9,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,400,running,0,41,0
9,14,31,Daniel Hemric,Poppy Bank   (Matthew Kaulig),Chevrolet,400,running,5,28,0
10,19,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,400,running,0,27,0
11,4,45,Tyler Reddick,McDonald's   (23XI Racing),Toyota,400,running,0,38,0
12,22,1,Ross Chastain,Moose Fraternity   (Trackhouse Racing),Chevrolet,400,running,0,25,0
13,10,16,A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,400,running,0,0,0
14,12,4,Josh Berry,Overstock.com   (Stewart Haas Racing),Ford,400,running,0,23,0
15,11,2,Austin Cindric,Menards  Quaker State   (Roger Penske),Ford,400,running,0,22,0
16,13,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,400,running,0,21,0
17,18,17,Chris Buescher,Fastenal   (Jack Roush),Ford,400,running,0,20,0
18,31,99,Daniel Suarez,Jockey   (Trackhouse Racing),Chevrolet,399,running,0,19,0
19,7,14,Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,399,running,0,18,0
20,34,42,John H. Nemechek,ACME   (Legacy Motor Club),Toyota,398,running,0,17,0
21,25,7,Corey LaJoie,Gainbridge   (Spire Motorsports),Chevrolet,398,running,33,16,0
22,20,77,Carson Hocevar,Premier Security   (Spire Motorsports),Chevrolet,397,running,0,15,0
23,36,51,Justin Haley,Walmart Health & Wellness   (Rick Ware),Ford,397,running,0,14,0
24,37,71,Zane Smith,Focused Health   (Spire Motorsports),Chevrolet,397,running,0,13,0
25,32,43,Corey Heim,STP Fuel Additives / Dollar Tree / Petty 75th   (Legacy Motor Club),Toyota,397,running,0,0,0
26,26,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,397,running,0,11,0
27,23,3,Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,396,running,0,10,0
28,27,84,Jimmie Johnson,Dollar Tree/Family Dollar   (Legacy Motor Club),Toyota,395,running,0,9,0
29,35,15,Kaz Grala,N29 Capital Partners   (Rick Ware),Ford,394,running,0,8,0
30,24,6,Brad Keselowski,BuildSubmarines.com   (Jack Roush),Ford,383,running,0,7,0
31,30,38,Todd Gilliland,A&W All American Food   (Bob Jenkins),Ford,379,running,0,6,0
32,16,23,Bubba Wallace,XFINITY/U.S. AIR FORCE   (23XI Racing),Toyota,329,crash,1,6,0
33,3,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,329,crash,36,13,0
34,33,20,Christopher Bell,Yahoo!   (Joe Gibbs),Toyota,328,crash,0,3,0
35,17,47,Ricky Stenhouse Jr,Hungry Jack   (JTG-Daugherty Racing),Chevrolet,320,crash,0,5,0
36,8,34,Michael McDowell,The Pete Store   (Bob Jenkins),Ford,285,hub,0,1,0
37,28,41,Ryan Preece,Morton Buildings   (Stewart Haas Racing),Ford,66,fire,0,1,0
