Rank,Driver,Points,Diff
1,Kyle Larson,410,
2,Martin Truex Jr,395,-15
3,Chase Elliott,377,-33
4,Denny Hamlin,361,-49
5,Tyler Reddick,354,-56
6,William Byron,348,-62
7,Ryan Blaney,342,-68
8,Ty Gibbs,323,-87
9,Alex Bowman,302,-108
9,Ross Chastain,302,-108
11,Kyle Busch,275,-135
12,Chase Briscoe,274,-136
13,Joey Logano,266,-144
14,Chris Buescher,265,-145
15,Bubba Wallace,263,-147
16,Brad Keselowski,261,-149
17,Christopher Bell,258,-152
18,Daniel Suarez,240,-170
19,Austin Cindric,214,-196
20,Carson Hocevar,187,-223
21,Noah Gragson,185,-225
