Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,23,23,,
yellow_flag,24,27,4,#20 accident turn 4,#51
green_flag,28,48,21,,
yellow_flag,49,54,6,#95 accident turn 2,#77
green_flag,55,74,20,,
yellow_flag,75,78,4,#19 accident turn 4,#27
green_flag,79,86,8,,
yellow_flag,87,90,4,"#17,18 accident frontstretch",#53
green_flag,91,92,2,,
yellow_flag,93,95,3,"#8,14 accident turn 4",#52
green_flag,96,101,6,,
yellow_flag,102,107,6,end of stage 1,#66
green_flag,108,127,20,,
yellow_flag,128,131,4,#37 accident turn 4,#66
green_flag,132,161,30,,
yellow_flag,162,166,5,#11 accident turn 2,#77
green_flag,167,189,23,,
yellow_flag,190,193,4,#47 accident turn 1,#53
green_flag,194,201,8,,
yellow_flag,202,208,7,end of stage 2,#41
green_flag,209,251,43,,
yellow_flag,252,257,6,"#52,19 accident turn 2",#32
green_flag,258,301,44,,
yellow_flag,302,307,6,end of stage 3,#32
green_flag,308,309,2,,
yellow_flag,310,314,5,"#1,18 accident frontstretch",#37
green_flag,315,316,2,,
yellow_flag,317,323,7,"#3,13,14,42,47 accident turn 2",none
green_flag,324,360,37,,
yellow_flag,361,365,5,#11 spun turn 2,#2
green_flag,366,391,26,,
yellow_flag,392,395,4,#2 spun turn 4,#11
green_flag,396,400,5,,
Percent of race run under caution: 20.0%             Average green flag run: 18.8 laps
