Rank,Driver,Wins,Points
1,Kyle Busch,3,528
2,Brad Keselowski,3,459
3,Martin Truex Jr,3,448
4,Denny Hamlin,2,434
5,Joey Logano,1,522
6,Chase Elliott,1,478
6,Kevin Harvick,0,478
8,Kurt Busch,0,406
9,Ryan Blaney,0,376
10,Alex Bowman,0,373
11,Clint Bowyer,0,370
12,Aric Almirola,0,360
13,Daniel Suarez,0,334
14,Jimmie Johnson,0,324
15,William Byron,0,316
16,Kyle Larson,0,311
