Leader,From Lap,To Lap,# Of Laps
William Byron,1,24,24
Kyle Busch,25,49,25
William Byron,50,50,1
Kevin Harvick,51,54,4
Kyle Busch,55,58,4
Kevin Harvick,59,62,4
"Martin Truex, Jr.",63,73,11
Kevin Harvick,74,74,1
Daniel Hemric,75,81,7
Brad Keselowski,82,90,9
Kevin Harvick,91,95,5
Brad Keselowski,96,106,11
Denny Hamlin,107,127,21
Chase Elliott,128,130,3
"Martin Truex, Jr.",131,131,1
Ryan Blaney,132,133,2
Brad Keselowski,134,162,29
William Byron,163,167,5
Brad Keselowski,168,189,22
Alex Bowman,190,193,4
William Byron,194,194,1
Alex Bowman,195,198,4
Brad Keselowski,199,203,5
Kyle Busch,204,252,49
"Martin Truex, Jr.",253,258,6
Kyle Busch,259,259,1
"Martin Truex, Jr.",260,303,44
Chase Elliott,304,343,40
"Martin Truex, Jr.",344,392,49
David Ragan,393,395,3
"Martin Truex, Jr.",396,400,5
