Rank,Driver,Points,Diff
1,Kyle Busch,528,
2,Joey Logano,522,-6
3,Chase Elliott,478,-50
3,Kevin Harvick,478,-50
5,Brad Keselowski,459,-69
6,Martin Truex Jr,448,-80
7,Denny Hamlin,434,-94
8,Kurt Busch,406,-122
9,Ryan Blaney,376,-152
10,Alex Bowman,373,-155
11,Clint Bowyer,370,-158
12,Aric Almirola,360,-168
13,Daniel Suarez,334,-194
14,Jimmie Johnson,324,-204
15,William Byron,316,-212
16,Kyle Larson,311,-217
17,Erik Jones,309,-219
18,Ryan Newman,305,-223
19,Ricky Stenhouse Jr,303,-225
20,Paul Menard,290,-238
21,Austin Dillon,284,-244
