Leader,From Lap,To Lap,# Of Laps
"Martin Truex, Jr.",1,5,5
Chase Elliott,6,43,38
Brad Keselowski,44,44,1
Chase Elliott,45,83,39
Kyle Larson,84,90,7
Denny Hamlin,91,121,31
Kyle Larson,122,122,1
Denny Hamlin,123,129,7
Brad Keselowski,130,130,1
Kyle Larson,131,137,7
Brad Keselowski,138,144,7
Denny Hamlin,145,171,27
Ryan Blaney,172,172,1
Kyle Larson,173,253,81
Brad Keselowski,254,254,1
Kevin Harvick,255,264,10
Ryan Blaney,265,307,43
Kevin Harvick,308,336,29
Kyle Larson,337,365,29
Ryan Blaney,366,366,1
Kyle Larson,367,412,46
Chase Elliott,413,464,52
Kevin Harvick,465,496,32
Kyle Larson,497,500,4
