Rank,Driver,Wins,Points
1,Kevin Harvick,4,637
2,Denny Hamlin,4,528
3,Brad Keselowski,2,549
4,Joey Logano,2,527
5,Chase Elliott,1,552
6,Ryan Blaney,1,534
7,Martin Truex Jr,1,501
8,Alex Bowman,1,471
9,Aric Almirola,0,465
10,Kyle Busch,0,461
11,Kurt Busch,0,457
12,Matt DiBenedetto,0,413
13,Clint Bowyer,0,410
14,William Byron,0,392
15,Jimmie Johnson,0,390
16,Austin Dillon,0,360
