Rank,Driver,Points,Diff
1,Kevin Harvick,637,
2,Chase Elliott,552,-85
3,Brad Keselowski,549,-88
4,Ryan Blaney,534,-103
5,Denny Hamlin,528,-109
6,Joey Logano,527,-110
7,Martin Truex Jr,501,-136
8,Alex Bowman,471,-166
9,Aric Almirola,465,-172
10,Kyle Busch,461,-176
11,Kurt Busch,457,-180
12,Matt DiBenedetto,413,-224
13,Clint Bowyer,410,-227
14,William Byron,392,-245
15,Jimmie Johnson,390,-247
16,Austin Dillon,360,-277
17,Erik Jones,354,-283
18,Tyler Reddick,344,-293
19,Bubba Wallace,318,-319
20,Ricky Stenhouse Jr,312,-325
21,Chris Buescher,304,-333
