Rank,Driver,Wins,Points
1,William Byron,1,165
2,Christopher Bell,3,152
3,Tyler Reddick,0,143
4,Ryan Blaney,0,136
5,Chase Elliott,0,124
6,Alex Bowman,0,117
7,Joey Logano,0,110
7,Denny Hamlin,0,110
7,Kyle Busch,0,110
10,Chris Buescher,0,109
11,Kyle Larson,0,108
12,Bubba Wallace,0,102
13,John H. Nemechek,0,99
14,Ricky Stenhouse Jr,0,96
14,Michael McDowell,0,96
16,Ross Chastain,0,88
