driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Christopher Bell,11,2,1,1,12,3,3,26,23,25,96.2,35,312,100.0,105,33.7,312,139.1
Denny Hamlin,10,9,2,1,15,7,-4,39,43,38,97.4,9,312,100.0,3,1.0,312,110.3
Kyle Larson,17,8,3,2,17,8,-4,67,71,55,82.1,1,312,100.0,0,0.0,312,101.9
Josh Berry,4,10,4,3,32,9,9,66,57,46,69.7,2,292,93.6,0,0.0,312,101.7
Chris Buescher,13,15,5,3,20,13,0,92,92,62,67.4,1,247,79.2,0,0.0,312,86.2
William Byron,1,3,6,1,20,4,-7,33,40,28,84.8,18,301,96.5,83,26.6,312,121.1
Alex Bowman,32,16,7,2,36,16,7,95,88,31,32.6,0,104,33.3,0,0.0,312,79.3
Kyle Busch,15,12,8,5,18,11,5,90,85,74,82.2,0,306,98.1,0,0.0,312,90.0
Zane Smith,26,18,9,9,31,18,1,98,97,31,31.6,0,75,24.0,0,0.0,312,71.8
Chase Elliott,6,14,10,6,23,13,-9,50,59,36,72.0,2,270,86.5,0,0.0,312,81.7
Ross Chastain,24,13,11,5,35,13,34,111,77,56,50.5,4,254,81.4,0,0.0,312,83.5
Austin Dillon,21,19,12,11,33,20,-17,88,105,17,19.3,0,36,11.5,0,0.0,312,65.7
Joey Logano,2,1,13,1,37,12,-26,74,100,41,55.4,51,214,68.6,81,26.0,312,100.0
John H. Nemechek,36,23,14,8,36,23,25,115,90,16,13.9,0,43,13.8,0,0.0,312,59.7
Ryan Preece,28,11,15,1,33,11,14,78,64,38,48.7,42,238,76.3,34,10.9,312,96.5
Ty Dillon,25,25,16,4,36,23,-7,66,73,25,37.9,1,72,23.1,0,0.0,312,55.6
Todd Gilliland,27,22,17,17,34,23,5,90,85,0,0.0,0,0,0.0,0,0.0,312,55.8
Erik Jones,5,21,18,5,34,16,-20,67,87,29,43.3,0,126,40.4,0,0.0,312,70.0
Austin Cindric,14,7,19,1,20,12,-7,79,86,50,63.3,7,211,67.6,6,1.9,312,79.4
Tyler Reddick,9,6,20,2,21,6,1,22,21,22,100.0,19,271,86.9,0,0.0,312,98.8
Ricky Stenhouse Jr,22,26,21,21,37,26,1,52,51,0,0.0,1,0,0.0,0,0.0,311,44.7
A.J. Allmendinger,16,24,22,15,35,23,-18,69,87,1,1.4,0,0,0.0,0,0.0,311,48.7
Daniel Suarez,31,5,23,2,34,17,4,65,61,20,30.8,2,137,44.5,0,0.0,308,65.8
Cody Ware,35,27,24,20,36,29,-5,29,34,0,0.0,0,0,0.0,0,0.0,306,36.3
Ty Gibbs,34,20,25,9,36,23,5,82,77,14,17.1,0,46,15.1,0,0.0,304,47.0
Noah Gragson,33,29,26,14,33,26,7,51,44,4,7.8,0,5,1.7,0,0.0,303,51.2
Michael McDowell,7,30,27,7,37,28,25,65,40,14,21.5,9,13,4.5,0,0.0,290,43.8
Ryan Blaney,12,4,28,4,14,10,6,81,75,77,95.1,17,289,100.0,0,0.0,289,90.2
Bubba Wallace,19,17,29,6,25,19,-21,57,78,12,21.1,0,68,25.7,0,0.0,265,59.0
Katherine Legge,37,28,30,28,37,31,-1,1,2,0,0.0,0,0,0.0,0,0.0,210,30.8
Shane Van Gisbergen,29,31,31,17,35,30,-1,55,56,0,0.0,0,0,0.0,0,0.0,100,29.3
Cole Custer,23,32,32,19,36,31,1,51,50,0,0.0,0,0,0.0,0,0.0,99,29.5
Brad Keselowski,20,33,33,3,29,29,-3,45,48,1,2.2,0,2,2.0,0,0.0,99,47.5
Justin Haley,8,34,34,4,35,28,7,45,38,24,53.3,5,42,42.9,0,0.0,98,48.5
Chase Briscoe,30,35,35,11,37,31,9,47,38,6,12.8,0,7,7.1,0,0.0,98,40.5
Carson Hocevar,3,36,36,3,36,28,-17,5,22,5,100.0,0,75,76.5,0,0.0,98,69.7
Riley Herbst,18,37,37,18,34,34,0,48,48,0,0.0,0,0,0.0,0,0.0,98,28.7
