Rank,Driver,Points,Diff
1,William Byron,165,
2,Christopher Bell,152,-13
3,Tyler Reddick,143,-22
4,Ryan Blaney,136,-29
5,Chase Elliott,124,-41
6,Alex Bowman,117,-48
7,Denny Hamlin,110,-55
7,Kyle Busch,110,-55
7,Joey Logano,110,-55
10,Chris Buescher,109,-56
11,Kyle Larson,108,-57
12,Bubba Wallace,102,-63
13,John H. Nemechek,99,-66
14,Ricky Stenhouse Jr,96,-69
14,Michael McDowell,96,-69
16,Todd Gilliland,93,-72
17,Ross Chastain,88,-77
18,Carson Hocevar,77,-88
19,Erik Jones,75,-90
20,Chase Briscoe,74,-91
21,Josh Berry,73,-92
