Rank,Driver,Points,Diff
1,Kyle Larson,4123,
2,Ryan Blaney,4072,-51
3,Denny Hamlin,4064,-59
4,Kyle Busch,4063,-60
5,Chase Elliott,4055,-68
6,Brad Keselowski,4048,-75
7,Martin Truex Jr,4041,-82
8,Joey Logano,4020,-103
9,Kevin Harvick,2248,-1875
10,Christopher Bell,2198,-1925
11,Kurt Busch,2196,-1927
12,Tyler Reddick,2192,-1931
13,William Byron,2183,-1940
14,Aric Almirola,2136,-1987
15,Alex Bowman,2135,-1988
16,Michael McDowell,2107,-2016
17,Austin Dillon,858,-3265
18,Matt DiBenedetto,713,-3410
19,Chris Buescher,706,-3417
20,Ross Chastain,668,-3455
21,Bubba Wallace,661,-3462
