Rank,Driver,Points,Diff
1,Kyle Busch,237,
2,Joey Logano,222,-15
3,Kevin Harvick,213,-24
4,Denny Hamlin,205,-32
5,Brad Keselowski,176,-61
6,Aric Almirola,174,-63
7,Martin Truex Jr,169,-68
8,Kyle Larson,163,-74
9,Kurt Busch,160,-77
10,Ryan Blaney,155,-82
11,Ricky Stenhouse Jr,146,-91
12,Chase Elliott,135,-102
13,Erik Jones,133,-104
14,Jimmie Johnson,121,-116
15,Clint Bowyer,119,-118
16,Alex Bowman,110,-127
17,Ryan Newman,107,-130
18,Daniel Suarez,105,-132
19,William Byron,104,-133
20,Austin Dillon,103,-134
21,Paul Menard,98,-139
