Rank,Driver,Wins,Points
1,Kyle Busch,2,273
2,Brad Keselowski,2,236
3,Denny Hamlin,1,252
4,Joey Logano,1,245
5,Kevin Harvick,0,248
6,Aric Almirola,0,215
7,Martin Truex Jr,0,207
8,Ryan Blaney,0,203
9,Chase Elliott,0,186
10,Kurt Busch,0,185
11,Kyle Larson,0,182
12,Ricky Stenhouse Jr,0,158
13,Clint Bowyer,0,157
14,Erik Jones,0,140
15,Jimmie Johnson,0,134
15,Daniel Suarez,0,134
