Rank,Driver,Points,Diff
1,Kyle Busch,273,
2,Denny Hamlin,252,-21
3,Kevin Harvick,248,-25
4,Joey Logano,245,-28
5,Brad Keselowski,236,-37
6,Aric Almirola,215,-58
7,Martin Truex Jr,207,-66
8,Ryan Blaney,203,-70
9,Chase Elliott,186,-87
10,Kurt Busch,185,-88
11,Kyle Larson,182,-91
12,Ricky Stenhouse Jr,158,-115
13,Clint Bowyer,157,-116
14,Erik Jones,140,-133
15,Jimmie Johnson,134,-139
15,Daniel Suarez,134,-139
17,Alex Bowman,133,-140
18,Austin Dillon,130,-143
19,Ryan Newman,121,-152
20,Paul Menard,120,-153
21,William Byron,119,-154
