Rank,Driver,Wins,Points
1,Chase Elliott,2,624
2,Ross Chastain,2,589
3,Joey Logano,2,551
4,William Byron,2,489
5,Denny Hamlin,2,394
6,Kyle Larson,1,553
7,Kyle Busch,1,547
8,Alex Bowman,1,494
9,Tyler Reddick,1,441
10,Austin Cindric,1,431
11,Kurt Busch,1,424
12,Chase Briscoe,1,422
13,Daniel Suarez,1,420
14,Ryan Blaney,0,591
15,Martin Truex Jr,0,540
16,Christopher Bell,0,499
