Rank,Driver,Points,Diff
1,Chase Elliott,624,
2,Ryan Blaney,591,-33
3,Ross Chastain,589,-35
4,Kyle Larson,553,-71
5,Joey Logano,551,-73
6,Kyle Busch,547,-77
7,Martin Truex Jr,540,-84
8,Christopher Bell,499,-125
9,Alex Bowman,494,-130
10,William Byron,489,-135
11,Kevin Harvick,479,-145
12,Aric Almirola,452,-172
13,Tyler Reddick,441,-183
14,Austin Cindric,431,-193
15,Kurt Busch,424,-200
16,Chase Briscoe,422,-202
17,Daniel Suarez,420,-204
18,Erik Jones,414,-210
19,Austin Dillon,405,-219
20,Denny Hamlin,394,-230
21,Michael McDowell,384,-240
