Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,20,20,,
yellow_flag,21,22,2,#47 spun turn 11,#51
green_flag,23,23,1,,
yellow_flag,24,27,4,"#48,88,20,11,1,37 accident turn 1",#66
green_flag,28,42,15,,
yellow_flag,43,44,2,"#88,43 accident turn 12",#42
green_flag,45,51,7,,
yellow_flag,52,54,3,end of stage 2,#32
green_flag,55,62,8,,
yellow_flag,63,64,2,#8 spun turn 13,#27
green_flag,65,65,1,,
yellow_flag,66,66,1,#9 accident turn 1,#15
green_flag,67,89,23,,
yellow_flag,90,91,2,#17 spun turn 11,#36
green_flag,92,93,2,,
yellow_flag,94,94,1,"#11,6,47,21 accident turn 6",#15
green_flag,95,96,2,,
yellow_flag,97,98,2,#41 stopped on track,#66
green_flag,99,99,1,,
yellow_flag,100,103,4,"#1,37,6,47 accident turn 8",#27
green_flag,104,109,6,,
Percent of race run under caution: 21.1%             Average green flag run: 7.8 laps
