Rank,Driver,Points,Diff
1,Kyle Busch,3046,
2,Martin Truex Jr,3041,-5
3,Denny Hamlin,3030,-16
4,Joey Logano,3029,-17
5,Kevin Harvick,3028,-18
6,Chase Elliott,3024,-22
6,Brad Keselowski,3024,-22
8,Kyle Larson,3006,-40
9,Alex Bowman,3005,-41
10,Ryan Blaney,3004,-42
11,William Byron,3001,-45
12,Clint Bowyer,3000,-46
13,Aric Almirola,2081,-965
14,Ryan Newman,2070,-976
15,Kurt Busch,2056,-990
16,Erik Jones,2009,-1037
17,Daniel Suarez,707,-2339
18,Jimmie Johnson,701,-2345
19,Paul Menard,631,-2415
20,Chris Buescher,598,-2448
21,Matt DiBenedetto,555,-2491
