Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,19,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,109,running,35,52,6
2,2,88,Alex Bowman,Nationwide Retirement Plans   (Rick Hendrick),Chevrolet,109,running,0,35,0
3,6,4,Kevin Harvick,Jimmy John's   (Stewart Haas Racing),Ford,109,running,34,43,0
4,5,14,Clint Bowyer,Rush Truck Centers / Cummins   (Stewart Haas Racing),Ford,109,running,2,49,0
5,11,2,Brad Keselowski,Alliance Truck Parts   (Roger Penske),Ford,109,running,3,46,0
6,1,24,William Byron,UniFirst   (Rick Hendrick),Chevrolet,109,running,23,41,0
7,8,19,Martin Truex Jr,Bass Pro Shops / Tracker ATVs & Boats   (Joe Gibbs),Toyota,109,running,1,34,0
8,9,12,Ryan Blaney,Menards / Duracell Optimum   (Roger Penske),Ford,109,running,0,35,0
9,4,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,109,running,0,35,0
10,3,22,Joey Logano,Shell / Pennzoil / Auto Trader   (Roger Penske),Ford,109,running,4,34,0
11,18,95,Matt DiBenedetto,Toyota Express Maintenance   (Leavine Family Racing),Toyota,109,running,0,26,0
12,22,34,Michael McDowell,Love's Travel Stops / Delo   (Bob Jenkins),Ford,109,running,0,30,0
13,7,42,Kyle Larson,Clover   (Chip Ganassi),Chevrolet,109,running,5,34,1
14,16,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,109,running,0,27,0
15,29,13,Ty Dillon,GEICO Military   (Germain Racing),Chevrolet,109,running,0,22,0
16,10,21,Paul Menard,Motorcraft / Quick Lane Tire & Auto Center   (Wood Brothers),Ford,109,running,0,23,0
17,21,17,Ricky Stenhouse Jr,Sunny D   (Jack Roush),Ford,109,running,0,20,0
18,12,37,Chris Buescher,Velveeta / Minute / Thomas'   (JTG-Daugherty Racing),Chevrolet,109,running,0,19,0
19,28,11,Denny Hamlin,FedEx Freight   (Joe Gibbs),Toyota,109,running,0,18,0
20,23,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,109,running,0,17,0
21,14,47,Ryan Preece,Kroger / Nature Valley / Velveeta   (JTG-Daugherty Racing),Chevrolet,109,running,0,16,0
22,37,15,Ross Chastain,Empire Auto Group   (Jay Robinson),Chevrolet,109,running,0,0,0
23,30,3,Austin Dillon,Jack Daniel's   (Richard Childress),Chevrolet,109,running,0,14,0
24,25,43,Bubba Wallace,LeithCars.com   (Richard Petty Motorsports),Chevrolet,109,running,0,13,0
25,36,36,Matt Tifft,Louis Kemp Crab Delights   (Bob Jenkins),Ford,109,running,0,12,0
26,40,96,Parker Kligerman,TRD 40th Anniversary   (Gaunt Brothers),Toyota,109,running,0,0,0
27,26,32,Corey LaJoie,Samaritan's Feet / Venture Companies   (Archie St. Hilaire),Ford,109,running,0,10,0
28,32,00,Landon Cassill,Coladka / Bos Klein   (StarCom Racing),Chevrolet,109,running,0,0,0
29,31,51,J.J. Yeley,Jacob Companies   (Rick Ware),Chevrolet,109,running,0,0,0
30,33,66,Timmy Hill,Duracap Asphalt   (Carl Long),Toyota,109,running,0,0,0
31,39,27,Joe Nemechek,Premium Motorsports   (Jay Robinson),Chevrolet,109,running,0,0,0
32,24,6,Ryan Newman,Performance Plus Motor Oil   (Jack Roush),Ford,109,running,0,5,0
33,20,8,Daniel Hemric,CAT Next Gen Excavators   (Richard Childress),Chevrolet,109,running,2,4,0
34,13,41,Daniel Suarez,Haas Automation   (Stewart Haas Racing),Ford,108,running,0,7,0
35,27,38,David Ragan,Citgard Heavy Duty Engine Oil   (Bob Jenkins),Ford,108,running,0,2,0
36,35,52,Garrett Smithley,Victory Lane / Kendall Oil   (Rick Ware),Ford,100,axle,0,0,0
37,17,18,Kyle Busch,M&M's Hazelnut   (Joe Gibbs),Toyota,99,suspension,0,1,0
38,34,53,Josh Bilicki,AQRE.app   (Rick Ware),Chevrolet,83,suspension,0,0,0
39,38,77,Reed Sorenson,Aquesta Bank   (Spire Motorsports),Chevrolet,66,electrical,0,1,0
40,15,20,Erik Jones,Craftsman   (Joe Gibbs),Toyota,23,crash,0,1,0
