Rank,Driver,Points,Diff
1,Joey Logano,783,
2,Kyle Busch,780,-3
3,Kevin Harvick,691,-92
4,Denny Hamlin,669,-114
5,Brad Keselowski,663,-120
6,Martin Truex Jr,654,-129
7,Kurt Busch,638,-145
8,Chase Elliott,615,-168
9,Aric Almirola,586,-197
10,Alex Bowman,577,-206
11,Ryan Blaney,572,-211
12,William Byron,549,-234
13,Kyle Larson,519,-264
14,Erik Jones,516,-267
15,Ryan Newman,509,-274
16,Clint Bowyer,505,-278
17,Jimmie Johnson,488,-295
17,Daniel Suarez,488,-295
19,Paul Menard,445,-338
20,Ricky Stenhouse Jr,428,-355
21,Chris Buescher,418,-365
