Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,14,4,Kevin Harvick,Busch Beer / National Forest Foundation   (Stewart Haas Racing),Ford,301,running,41,46,5
2,23,11,Denny Hamlin,FedEx Express   (Joe Gibbs),Toyota,301,running,113,42,0
3,4,20,Erik Jones,Stanley Tools   (Joe Gibbs),Toyota,301,running,4,43,0
4,5,12,Ryan Blaney,Menards / Sylvania   (Roger Penske),Ford,301,running,0,37,0
5,7,95,Matt DiBenedetto,Procore   (Leavine Family Racing),Toyota,301,running,0,32,0
6,6,19,Martin Truex Jr,SiriusXM   (Joe Gibbs),Toyota,301,running,0,36,0
7,26,6,Ryan Newman,Oscar Mayer / Velveeta   (Jack Roush),Ford,301,running,0,38,0
8,2,18,Kyle Busch,Interstate Batteries   (Joe Gibbs),Toyota,301,running,118,45,1
9,8,22,Joey Logano,AAA Insurance   (Roger Penske),Ford,301,running,1,37,0
10,1,2,Brad Keselowski,Alliance Truck Parts   (Roger Penske),Ford,301,running,12,33,0
11,9,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,301,running,12,44,1
12,22,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,301,running,0,32,0
13,17,21,Paul Menard,Motorcraft / Quick Lane Tire & Auto Center   (Wood Brothers),Ford,301,running,0,26,0
14,37,88,Alex Bowman,Axalta   (Rick Hendrick),Chevrolet,301,running,0,23,0
15,25,37,Chris Buescher,Scott Comfort Plus / Viva / Hidden Valley   (JTG-Daugherty Racing),Chevrolet,301,running,0,22,0
16,18,13,Ty Dillon,GEICO Military   (Germain Racing),Chevrolet,301,running,0,21,0
17,24,34,Michael McDowell,Dockside Logistics   (Bob Jenkins),Ford,301,running,0,20,0
18,3,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,301,running,0,20,0
19,13,41,Daniel Suarez,Haas Automation   (Stewart Haas Racing),Ford,300,running,0,19,0
20,16,14,Clint Bowyer,Toco Warranty / Haas Automation   (Stewart Haas Racing),Ford,300,running,0,24,0
21,28,47,Ryan Preece,Kroger / Bush's Beans / Ball Park   (JTG-Daugherty Racing),Chevrolet,300,running,0,16,0
22,27,43,Bubba Wallace,Victory Junction   (Richard Petty Motorsports),Chevrolet,300,running,0,15,0
23,29,32,Corey LaJoie,Weir's Motor Sales / Adirondack Tree Surgeons   (Archie St. Hilaire),Ford,299,running,0,14,0
24,30,36,Matt Tifft,Louis Kemp Crab Delights   (Bob Jenkins),Ford,299,running,0,13,0
25,32,15,Ross Chastain,YvarsBranding.com   (Jay Robinson),Chevrolet,299,running,0,0,0
26,31,00,Landon Cassill,StarCom Fiber   (StarCom Racing),Chevrolet,298,running,0,0,0
27,33,27,Reed Sorenson,VIPRacingExperience.com   (Jay Robinson),Chevrolet,294,running,0,10,0
28,35,51,Andy Seuss,Jacob Companies   (Rick Ware),Ford,291,running,0,9,0
29,12,9,Chase Elliott,Kelley Blue Book   (Rick Hendrick),Chevrolet,290,running,0,8,0
30,10,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,288,running,0,7,0
31,34,77,Quin Houff,#MyTrackMyRoots   (Spire Motorsports),Chevrolet,287,running,0,6,0
32,21,3,Austin Dillon,Behr Ultra   (Richard Childress),Chevrolet,268,running,0,5,0
33,15,42,Kyle Larson,McDonald's / Ronald McDonald House Charities   (Chip Ganassi),Chevrolet,264,crash,0,8,0
34,20,38,David Ragan,Compressor World   (Bob Jenkins),Ford,261,running,0,3,0
35,36,52,Austin Theriault,Bangor Savings Bank / Cross Insurance   (Rick Ware),Chevrolet,185,rear gear,0,2,0
36,11,17,Ricky Stenhouse Jr,Fastenal New England Region   (Jack Roush),Ford,135,crash,0,1,0
37,19,8,Daniel Hemric,Okuma   (Richard Childress),Chevrolet,110,crash,0,1,0
