Rank,Driver,Wins,Points
1,Kyle Busch,4,780
2,Martin Truex Jr,4,654
3,Brad Keselowski,3,663
4,Joey Logano,2,783
5,Denny Hamlin,2,669
6,Kevin Harvick,1,691
7,Kurt Busch,1,638
8,Chase Elliott,1,615
9,Alex Bowman,1,577
10,Aric Almirola,0,586
11,Ryan Blaney,0,572
12,William Byron,0,549
13,Kyle Larson,0,519
14,Erik Jones,0,516
15,Ryan Newman,0,509
16,Clint Bowyer,0,505
