Rank,Driver,Wins,Points
1,Chase Elliott,4,882
2,Ross Chastain,2,739
3,Joey Logano,2,718
4,Kevin Harvick,2,665
5,William Byron,2,649
6,Denny Hamlin,2,574
7,Tyler Reddick,2,563
8,Kyle Larson,1,745
9,Christopher Bell,1,703
10,Kyle Busch,1,663
11,Alex Bowman,1,592
12,Daniel Suarez,1,574
13,Austin Cindric,1,556
14,Chase Briscoe,1,549
15,Kurt Busch,1,485
16,Ryan Blaney,0,766
