Rank,Driver,Points,Diff
1,Chase Elliott,882,
2,Ryan Blaney,766,-116
3,Kyle Larson,745,-137
4,Martin Truex Jr,740,-142
5,Ross Chastain,739,-143
6,Joey Logano,718,-164
7,Christopher Bell,703,-179
8,Kevin Harvick,665,-217
9,Kyle Busch,663,-219
10,William Byron,649,-233
11,Alex Bowman,592,-290
12,Denny Hamlin,574,-308
12,Daniel Suarez,574,-308
14,Tyler Reddick,563,-319
15,Austin Cindric,556,-326
16,Aric Almirola,552,-330
17,Chase Briscoe,549,-333
18,Erik Jones,540,-342
19,Bubba Wallace,517,-365
20,Austin Dillon,504,-378
21,Kurt Busch,485,-397
