Rank,Driver,Wins,Points
1,Kyle Busch,4,892
2,Martin Truex Jr,4,805
3,Denny Hamlin,3,815
4,Brad Keselowski,3,754
5,Joey Logano,2,872
6,Kevin Harvick,2,822
7,Chase Elliott,2,711
8,Kurt Busch,1,701
9,Alex Bowman,1,653
10,Ryan Blaney,0,654
11,Aric Almirola,0,645
12,William Byron,0,642
13,Kyle Larson,0,624
14,Erik Jones,0,623
15,Ryan Newman,0,569
16,Clint Bowyer,0,559
